id;nome;rua;numero;bairro;cidade;construtora_empreendedora;quantidade_quartos;inicio_comercializacao;entrega_unidade;fase_obra;tipo_unidade;quantidade_unidades;quantidade_unidades_vendidas;estoque;percentual_vendido;preco_medio;area_unidade;forma_pagamento;caracterizacao_area_lazer;infrestrutura_seguranca;nivel_acabamento
1;EXE projection Fresh;support Gorgeous;22793;synergies copying;ability Hat Iraq;magenta Concrete;33761;2019-05-11T08:25:54;2019-05-10T15:39:39;CONSTRUCAO;LOFT;6489;97178;25391;96244;24687;25178;Buckinghamshire capability zero tolerance;mission-critical;Berkshire Small Plastic Pants Investor;Canadian Dollar
2;Berkshire Designer;Credit Card Account;8085;24/7 Re-contextualized cross-platform;invoice withdrawal;bypassing optical;15071;2019-05-11T06:35:31;2019-05-11T02:05:38;CONSTRUCAO;LOFT;51209;80950;22649;34866;64517;9617;Quality;synthesize Creative;Forint;Concrete Global SMS
3;Profound;parsing;55520;Equatorial Guinea Vision-oriented;Agent;Human deposit;33902;2019-05-11T07:35:52;2019-05-11T05:54:34;CONSTRUCAO;LOFT;78534;89855;66898;60642;58068;919;Unbranded invoice;clear-thinking;Latvia;Ports Manager Fish
4;Networked;Fish;36646;program alarm;Nevada;Berkshire;63633;2019-05-11T07:55:33;2019-05-11T08:16:46;CONSTRUCAO;LOFT;79481;35007;50263;64510;57690;66892;CSS Re-contextualized;local Shoes;Intelligent Frozen Sausages Villages;Human
5;back up Factors;architectures;96665;Strategist SDD;functionalities;compressing;31692;2019-05-11T02:38:38;2019-05-11T10:13:22;CONSTRUCAO;LOFT;35864;14008;25416;51832;29529;87737;program;Metal array France;redundant;Synergistic Personal Loan Account Sleek
6;Borders;olive Handcrafted Cotton Bacon Unbranded Fresh Pants;2761;California interfaces;Garden Dale Wallis and Futuna;generating;86040;2019-05-11T13:33:31;2019-05-11T08:17:04;CONSTRUCAO;LOFT;76999;27154;21582;96525;62289;45726;backing up;Iran;Philippine Peso Metal;Strategist
7;card Licensed Cotton Ball;mindshare Gorgeous;2535;Brand;infomediaries Som Rustic Frozen Keyboard;Enterprise-wide Benin;71459;2019-05-11T09:54:06;2019-05-10T22:26:45;CONSTRUCAO;LOFT;4771;24773;56603;35597;15864;75784;Garden;Small;Incredible Fresh Chips;Shoes Music connect
8;Hollow Shoes systems;Generic Frozen Tuna HTTP;26089;Kids Optimization;EXE payment;Checking Account;94389;2019-05-10T22:52:21;2019-05-10T15:37:43;CONSTRUCAO;LOFT;38816;57336;64328;12850;45825;81120;parsing Investment Account;Branding Dynamic black;yellow;Books Generic
9;robust withdrawal generate;Garden open-source hybrid;11816;Rupiah Personal Loan Account HTTP;schemas Specialist China;quantify multi-byte;99050;2019-05-10T20:43:52;2019-05-11T04:23:16;CONSTRUCAO;LOFT;23859;42899;67984;75087;73990;75454;Fantastic;Liechtenstein Buckinghamshire monetize;Direct;Small Frozen Salad bypassing
10;time-frame Quality;Borders Borders Practical;9170;Money Market Account;Danish Krone parse;neural Wooden Optimization;97424;2019-05-11T12:54:33;2019-05-10T14:23:18;CONSTRUCAO;LOFT;61821;86686;10112;83848;8410;42609;Centralized revolutionize International;Sleek;Visionary;exploit transition
